URL,TTL,Message
voc.com.cn,30,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:53 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align: baseline; 
margin: 0 2px; 
outline: none; 
cursor: pointer; 
text-align: center; 
text-decoration: none; 
font: 14px/100% Arial, Helvetica, sans-serif; 
padding: .5em 2em .55em; 
text-shadow: 0 1px 1px rgba(0,0,0,.3); 
-webkit-border-radius: .5em; 
-moz-border-radius: .5em; 
border-radius: .5em; 
-webkit-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
-moz-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
box-shadow: 0 1px 2px rgba(0,0,0,.2); 
} 
.green { 
color: #e8f0de; 
border: solid 1px #538312; 
background: #64991e; 
background: -webkit-gradient(linear, left top, left bottom, from(#7db72f), to(#4e7d0e)); 
background: -moz-linear-gradient(top, #7db72f, #4e7d0e); 
filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#7db72f', endColorstr='#4e7d0e'); 
} 
</style>
</head>

<body style=""margin:0px"">
<div class=""cont-box"">
   <div class=""logobg""></div>
   <div class=""cont"">
    <div style=""padding-left:75px"">
    <p class=""sorry"">抱歉，该页面加载超时！</p>
    <p class=""redfont"">我们会自动跟踪相关系统错误,并尽快自动恢复。
    <br />但是如果该问题持续存在,请随时联系我们。</p>
    </div>
    <div style=""padding:0 0 20px 100px""><span class=""button green""  onclick=""history.go(-1);return false;"">返回上页</span> <span class=""button green"" onclick=""window.location.reload();return false;"">刷新重试</span> </div>
    <p style=""color:black;word-wrap:break-word;"">以下信息在反馈时可提交给管理员：<br>ErrorCode: <b style=""color:red"">502</b>  ServerName: v-v"
voc.com.cn,31,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:54 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,32,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:54 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,33,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:56 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,34,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:56 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align: baseline; 
margin: 0 2px; 
outline: none; 
cursor: pointer; 
text-align: center; 
text-decoration: none; 
font: 14px/100% Arial, Helvetica, sans-serif; 
padding: .5em 2em .55em; 
text-shadow: 0 1px 1px rgba(0,0,0,.3); 
-webkit-border-radius: .5em; 
-moz-border-radius: .5em; 
border-radius: .5em; 
-webkit-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
-moz-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
box-shadow: 0 1px 2px rgba(0,0,0,.2); 
} 
.green { 
color: #e8f0de; 
border: solid 1px #538312; 
background: #64991e; 
background: -webkit-gradient(linear, left top, left bottom, from(#7db72f), to(#4e7d0e)); 
background: -moz-linear-gradient(top, #7db72f, #4e7d0e); 
filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#7db72f', endColorstr='#4e7d0e'); 
} 
</style>
</head>

<body style=""margin:0px"">
<div class=""cont-box"">
   <div class=""logobg""></div>
   <div class=""cont"">
    <div style=""padding-left:75px"">
    <p class=""sorry"">抱歉，该页面加载超时！</p>
    <p class=""redfont"">我们会自动跟踪相关系统错误,并尽快自动恢复。
    <br />但是如果该问题持续存在,请随时联系我们。</p>
    </div>
    <div style=""padding:0 0 20px 100px""><span class=""button green""  onclick=""history.go(-1);return false;"">返回上页</span> <span class=""button green"" onclick=""window.location.reload();return false;"">刷新重试</span> </div>
    <p style=""color:black;word-wrap:break-word;"">以下信息在反馈时可提交给管理员：<br>ErrorCode: <b style=""color:red"">502</b>  ServerName: v-v"
voc.com.cn,35,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:57 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,36,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:58 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align: baseline; 
margin: 0 2px; 
outline: none; 
cursor: pointer; 
text-align: center; 
text-decoration: none; 
font: 14px/100% Arial, Helvetica, sans-serif; 
padding: .5em 2em .55em; 
text-shadow: 0 1px 1px rgba(0,0,0,.3); 
-webkit-border-radius: .5em; 
-moz-border-radius: .5em; 
border-radius: .5em; 
-webkit-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
-moz-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
box-shadow: 0 1px 2px rgba(0,0,0,.2); 
} 
.green { 
color: #e8f0de; 
border: solid 1px #538312; 
background: #64991e; 
background: -webkit-gradient(linear, left top, left bottom, from(#7db72f), to(#4e7d0e)); 
background: -moz-linear-gradient(top, #7db72f, #4e7d0e); 
filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#7db72f', endColorstr='#4e7d0e'); 
} 
</style>
</head>

<body style=""margin:0px"">
<div class=""cont-box"">
   <div class=""logobg""></div>
   <div class=""cont"">
    <div style=""padding-left:75px"">
    <p class=""sorry"">抱歉，该页面加载超时！</p>
    <p class=""redfont"">我们会自动跟踪相关系统错误,并尽快自动恢复。
    <br />但是如果该问题持续存在,请随时联系我们。</p>
    </div>
    <div style=""padding:0 0 20px 100px""><span class=""button green""  onclick=""history.go(-1);return false;"">返回上页</span> <span class=""button green"" onclick=""window.location.reload();return false;"">刷新重试</span> </div>
    <p style=""color:black;word-wrap:break-word;"">以下信息在反馈时可提交给管理员：<br>ErrorCode: <b style=""color:red"">502</b>  ServerName: v-voccache-lugu02 RemoteIP: 176.107.176.62   Time: 16/Jan/2020:14:42:58 +0800
    <br />Method: GET URL: http://ojaloberoi.in:80/
    <br />User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36
    </p>
   </div>
   <div class=""footer"">版权所有：湖南日报报业集团</div>
</div>


</body>
</html>
0

"
voc.com.cn,37,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:42:59 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,38,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:43:00 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
voc.com.cn,39,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:43:01 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align: baseline; 
margin: 0 2px; 
outline: none; 
cursor: pointer; 
text-align: center; 
text-decoration: none; 
font: 14px/100% Arial, Helvetica, sans-serif; 
padding: .5em 2em .55em; 
text-shadow: 0 1px 1px rgba(0,0,0,.3); 
-webkit-border-radius: .5em; 
-moz-border-radius: .5em; 
border-radius: .5em; 
-webkit-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
-moz-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
box-shadow: 0 1px 2px rgba(0,0,0,.2); 
} 
.green { 
color: #e8f0de; 
border: solid 1px #538312; 
background: #64991e; 
background: -webkit-gradient(linear, left top, left bottom, from(#7db72f), to(#4e7d0e)); 
background: -moz-linear-gradient(top, #7db72f, #4e7d0e); 
filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#7db72f', endColorstr='#4e7d0e'); 
} 
</style>
</head>

<body style=""margin:0px"">
<div class=""cont-box"">
   <div class=""logobg""></div>
   <div class=""cont"">
    <div style=""padding-left:75px"">
    <p class=""sorry"">抱歉，该页面加载超时！</p>
    <p class=""redfont"">我们会自动跟踪相关系统错误,并尽快自动恢复。
    <br />但是如果该问题持续存在,请随时联系我们。</p>
    </div>
    <div style=""padding:0 0 20px 100px""><span class=""button green""  onclick=""history.go(-1);return false;"">返回上页</span> <span class=""button green"" onclick=""window.location.reload();return false;"">刷新重试</span> </div>
    <p style=""color:black;word-wrap:break-word;"">以下信息在反馈时可提交给管理员：<br>ErrorCode: <b style=""color:red"">502</b>  ServerName: v-voccache-lugu02 RemoteIP: 176.107.176.62   Time: 16/Jan/2020:14:43:01 +0800
    <br />Method: GET URL: http://ojaloberoi.in:80/
    <br />User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36
    </p>
   </div>
   <div class=""footer"">版权所有：湖南日报报业集团</div>
</div>


</body>
</html>
0

"
voc.com.cn,40,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:43:01 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align: baseline; 
margin: 0 2px; 
outline: none; 
cursor: pointer; 
text-align: center; 
text-decoration: none; 
font: 14px/100% Arial, Helvetica, sans-serif; 
padding: .5em 2em .55em; 
text-shadow: 0 1px 1px rgba(0,0,0,.3); 
-webkit-border-radius: .5em; 
-moz-border-radius: .5em; 
border-radius: .5em; 
-webkit-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
-moz-box-shadow: 0 1px 2px rgba(0,0,0,.2); 
box-shadow: 0 1px 2px rgba(0,0,0,.2); 
} 
.green { 
color: #e8f0de; 
border: solid 1px #538312; 
background: #64991e; 
background: -webkit-gradient(linear, left top, left bottom, from(#7db72f), to(#4e7d0e)); 
background: -moz-linear-gradient(top, #7db72f, #4e7d0e); 
filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#7db72f', endColorstr='#4e7d0e'); 
} 
</style>
</head>

<body style=""margin:0px"">
<div class=""cont-box"">
   <div class=""logobg""></div>
   <div class=""cont"">
    <div style=""padding-left:75px"">
    <p class=""sorry"">抱歉，该页面加载超时！</p>
    <p class=""redfont"">我们会自动跟踪相关系统错误,并尽快自动恢复。
    <br />但是如果该问题持续存在,请随时联系我们。</p>
    </div>
    <div style=""padding:0 0 20px 100px""><span class=""button green""  onclick=""history.go(-1);return false;"">返回上页</span> <span class=""button green"" onclick=""window.location.reload();return false;"">刷新重试</span> </div>
    <p style=""color:black;word-wrap:break-word;"">以下信息在反馈时可提交给管理员：<br>ErrorCode: <b style=""color:red"">502</b>  ServerName: v-voccache-lugu02 RemoteIP: 176.107.176.62   Time: 16/Jan/2020:14:43:01 +0800
    <br />Method: GET URL: http://ojaloberoi.in:80/
    <br />User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36
    </p>
   </div>
   <div class=""footer"">版权所有：湖南日报报业集团</div>
</div>


</body>
</html>
0

"
voc.com.cn,41,"HTTP/1.1 502 Bad Gateway
Server: VocCache
Date: Thu, 16 Jan 2020 06:43:02 GMT
Content-Type: text/html
Transfer-Encoding: chunked
Connection: keep-alive

c43
<!DOCTYPE html>
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=gb2312"" />
<title>错误代码:502</title>
<meta http-equiv=""Content-Language"" content=""zh-cn"" />
<meta name=""MSSmartTagsPreventParsing"" content=""true"" />
<base href=""/cdn-errors/"" />
<style type=""text/css"">
.cont-box{ width:800px; margin:35px auto 0 auto; font-size:14px; color:#555; line-height:28px;}
.cont-box .logobg{ background:url('img/voclogo-ccy.jpg') no-repeat left top; height:70px;}
.cont-box .cont{ width:760px; margin:0 auto 40px auto; background:url('img/bgicon-ccy.jpg') no-repeat left 16px; padding-left:5px;} 
.cont-box .cont p{ padding:0; margin:0;}
.cont-box .cont p.sorry{ font-family:""Microsoft YaHei"",""宋体""; font-size:20px; line-height:30px; padding:2px 0 4px 0;}
.cont-box .cont p.redfont{ color:#c00; margin-bottom:30px;}
.cont-box a,.cont-box a img{ color:#06C; text-decoration:none; border:none}
.cont-box a:hover{ text-decoration:underline;}
.cont-box .footer{ text-align:center; font-size:12px; line-height:28px; color:#666; background:url('img/line-ccy.jpg') repeat-x top; padding-top:14px; overflow:hidden}
.cont-box .btn{ padding:30px 0}
.button { 
display: inline-block; 
zoom: 1; /* zoom and *display = ie7 hack for display:inline-block */ 
*display: inline; 
vertical-align"
